timestamp,user,command
2024-12-13T10:00:00,user1,ls
2024-12-13T10:01:00,user1,cd docs
2024-12-13T10:02:00,user1,tac file1.txt
2024-12-13T17:04:52.296163,meizu,whoami
2024-12-13T17:04:52.297166,meizu,ls
2024-12-13T17:04:52.297166,meizu,cd docs
2024-12-13T17:04:52.297166,meizu,ls
2024-12-13T17:04:52.298163,meizu,tac file1.txt
2024-12-13T17:04:52.298163,meizu,exit
2024-12-13T17:10:43.665515,meizu,whoami
2024-12-13T17:10:43.665515,meizu,ls
2024-12-13T17:10:43.665515,meizu,cd docs
2024-12-13T17:10:43.665515,meizu,ls
2024-12-13T17:10:43.665515,meizu,tac file1.txt
2024-12-13T17:10:43.665515,meizu,exit
2024-12-13T17:11:16.859810,meizu,whoami
2024-12-13T17:11:16.859810,meizu,ls
2024-12-13T17:11:16.859810,meizu,cd virtual_fs/docs
2024-12-13T17:11:16.859810,meizu,ls
2024-12-13T17:11:16.868087,meizu,tac file1.txt
2024-12-13T17:11:16.868087,meizu,exit
2024-12-13T17:11:26.660334,meizu,whoami
2024-12-13T17:11:26.660334,meizu,ls
2024-12-13T17:11:26.660334,meizu,cd virtual_fs
2024-12-13T17:11:26.660334,meizu,ls
2024-12-13T17:11:26.660334,meizu,tac file1.txt
2024-12-13T17:11:26.660334,meizu,exit
2024-12-13T17:13:17.006707,meizu,whoami
2024-12-13T17:13:17.006707,meizu,ls
2024-12-13T17:13:17.006707,meizu,cd virtual_fs
2024-12-13T17:13:17.006707,meizu,ls
2024-12-13T17:13:17.006707,meizu,tac file1.txt
2024-12-13T17:13:17.006707,meizu,exit
2024-12-13T17:13:32.273757,meizu,whoami
2024-12-13T17:13:32.273757,meizu,ls
2024-12-13T17:13:32.273757,meizu,cd docs
2024-12-13T17:13:32.273757,meizu,ls
2024-12-13T17:13:32.273757,meizu,tac file1.txt
2024-12-13T17:13:32.273757,meizu,exit
2024-12-13T17:16:52.875409,meizu,whoami
2024-12-13T17:16:52.881717,meizu,ls
2024-12-13T17:16:52.881717,meizu,cd docs
2024-12-13T17:16:52.881717,meizu,ls
2024-12-13T17:16:52.881717,meizu,tac file1.txt
2024-12-13T17:16:52.881717,meizu,exit
2024-12-13T17:17:06.992939,meizu,whoami
2024-12-13T17:17:06.992939,meizu,ls
2024-12-13T17:17:06.992939,meizu,cd docs
2024-12-13T17:17:06.992939,meizu,ls
2024-12-13T17:17:06.992939,meizu,tac file2.txt
2024-12-13T17:17:06.992939,meizu,exit
2024-12-13T17:18:32.900579,meizu,whoami
2024-12-13T17:18:32.900579,meizu,ls
2024-12-13T17:18:32.900579,meizu,cd C:\Users\meizu\OneDrive\Рабочий стол\3 семестр\Конфиг\dz1\shell_emulator\virtual_fs.zip\docs
2024-12-13T17:18:32.900579,meizu,ls
2024-12-13T17:18:32.900579,meizu,tac file2.txt
2024-12-13T17:18:32.900579,meizu,exit
2024-12-13T17:18:54.703461,meizu,whoami
2024-12-13T17:18:54.703461,meizu,ls
2024-12-13T17:18:54.703461,meizu,"cd ""C:\Users\meizu\OneDrive\Рабочий стол\3 семестр\Конфиг\dz1\shell_emulator\virtual_fs.zip\docs"""
2024-12-13T17:18:54.703461,meizu,ls
2024-12-13T17:18:54.703461,meizu,tac file2.txt
2024-12-13T17:18:54.703461,meizu,exit
2024-12-13T17:19:32.507409,meizu,whoami
2024-12-13T17:19:32.507409,meizu,ls
2024-12-13T17:19:32.507409,meizu,cd docs
2024-12-13T17:19:32.507409,meizu,ls
2024-12-13T17:19:32.507409,meizu,tac file2.txt
2024-12-13T17:19:32.507409,meizu,exit
2024-12-13T17:21:17.989528,Linn,whoami
2024-12-13T17:21:17.989528,Linn,ls
2024-12-13T17:21:17.989528,Linn,cd docs
2024-12-13T17:21:17.989528,Linn,ls
2024-12-13T17:21:17.989528,Linn,tac file2.txt
2024-12-13T17:21:17.989528,Linn,exit
2024-12-13T17:22:31.247976,Linn,whoami
2024-12-13T17:22:31.247976,Linn,ls
2024-12-13T17:22:31.247976,Linn,cd docs
2024-12-13T17:22:31.247976,Linn,ls
2024-12-13T17:22:31.247976,Linn,tac file2.txt
2024-12-13T17:22:31.247976,Linn,exit
2024-12-13T17:23:01.955863,Linn,whoami
2024-12-13T17:23:01.955863,Linn,ls
2024-12-13T17:23:01.955863,Linn,cd virtual_fs
2024-12-13T17:23:01.955863,Linn,ls
2024-12-13T17:23:01.955863,Linn,tac file2.txt
2024-12-13T17:23:01.955863,Linn,exit
2024-12-13T17:25:01.384881,Linn,whoami
2024-12-13T17:25:01.384881,Linn,ls
2024-12-13T17:25:01.384881,Linn,cd virtual_fs
2024-12-13T17:25:01.384881,Linn,ls
2024-12-13T17:25:01.384881,Linn,tac file2.txt
2024-12-13T17:25:01.384881,Linn,exit
2024-12-13T17:25:13.283918,Linn,whoami
2024-12-13T17:25:13.283918,Linn,ls
2024-12-13T17:25:13.283918,Linn,cd ..
2024-12-13T17:25:13.283918,Linn,ls
2024-12-13T17:25:13.283918,Linn,tac file2.txt
2024-12-13T17:25:13.283918,Linn,exit
2024-12-13T17:25:33.813103,Linn,whoami
2024-12-13T17:25:33.813103,Linn,ls
2024-12-13T17:25:33.818289,Linn,cd conf
2024-12-13T17:25:33.820128,Linn,ls
2024-12-13T17:25:33.820128,Linn,tac file2.txt
2024-12-13T17:25:33.820128,Linn,exit
2024-12-13T17:25:47.029759,Linn,whoami
2024-12-13T17:25:47.029759,Linn,ls
2024-12-13T17:25:47.029759,Linn,cd docs
2024-12-13T17:25:47.029759,Linn,ls
2024-12-13T17:25:47.029759,Linn,tac file2.txt
2024-12-13T17:25:47.029759,Linn,exit
2024-12-13T17:32:26.684617,Linn,whoami
2024-12-13T17:32:26.685616,Linn,ls
2024-12-13T17:32:26.685616,Linn,cd docs
2024-12-13T17:32:26.686619,Linn,ls
2024-12-13T17:32:26.686619,Linn,tac file2.txt
2024-12-13T17:32:26.686619,Linn,exit
2024-12-13T17:32:49.982593,Linn,whoami
2024-12-13T17:32:49.982593,Linn,ls
2024-12-13T17:32:49.982593,Linn,cd docs
2024-12-13T17:32:49.982593,Linn,ls
2024-12-13T17:32:49.984388,Linn,tac file1.txt
2024-12-13T17:32:49.984388,Linn,exit
2024-12-13T17:35:06.340876,Linn,whoami
2024-12-13T17:35:06.342885,Linn,ls
2024-12-13T17:35:06.342885,Linn,cd docs
2024-12-13T17:35:06.342885,Linn,ls
2024-12-13T17:35:06.342885,Linn,cd ..
2024-12-13T17:35:06.342885,Linn,ls
2024-12-13T17:35:06.342885,Linn,cd conf
2024-12-13T17:35:06.342885,Linn,ls
2024-12-13T17:35:06.342885,Linn,cd nonexistent
2024-12-13T17:35:06.342885,Linn,tac file1.txt
2024-12-13T17:35:06.342885,Linn,exit
2024-12-13T17:36:15.201108,Linn,whoami
2024-12-13T17:36:15.201108,Linn,ls
2024-12-13T17:36:15.201108,Linn,cd docs
2024-12-13T17:36:15.201108,Linn,ls
2024-12-13T17:36:15.201108,Linn,cd ..
2024-12-13T17:36:15.201108,Linn,ls
2024-12-13T17:36:15.201108,Linn,cd conf
2024-12-13T17:36:15.201108,Linn,ls
2024-12-13T17:36:15.201108,Linn,cd nonexistent
2024-12-13T17:36:15.201108,Linn,tac file2.txt
2024-12-13T17:36:15.201108,Linn,exit
2024-12-13T17:37:04.714938,Linn,whoami
2024-12-13T17:37:04.714938,Linn,ls
2024-12-13T17:37:04.714938,Linn,cd docs
2024-12-13T17:37:04.714938,Linn,ls
2024-12-13T17:37:04.714938,Linn,cd ..
